Time Period,Subscribers
1/4/13,34240000
1/7/13,35640000
1/10/13,38010000
1/1/14,41430000
1/4/14,46130000
1/7/14,47990000
1/10/14,50650000
1/1/15,54480000
1/4/15,59620000
1/7/15,62080000
1/10/15,66020000
1/1/16,70840000
1/4/16,77710000
1/7/16,79900000
1/10/16,83280000
1/1/17,89090000
1/4/17,94360000
1/7/17,99040000
1/10/17,104020000
1/1/18,110640000
1/4/18,118900000
1/7/18,124350000
1/10/18,130420000
1/1/19,139260000
1/4/19,148860000
1/7/19,151560000
1/10/19,158330000
1/1/20,167090000
1/4/20,182860000
1/7/20,192950000
1/10/20,195150000
1/1/21,203660000
1/4/21,207640000
1/7/21,209180000
1/10/21,213560000
1/1/22,221840000
1/4/22,221640000
1/7/22,220670000
1/10/22,223090000
1/1/23,230750000
1/4/23,232500000
1/7/23,238390000
